competition,date_scraped,season,team,player,points,try_scored,conversion,penalty_goal,drop_goal,carries,metres_made,clean_break,defender_beaten,offload,tackle,missed_tackle,turnovers_conceded,penalty_conceded,yellow_card,red_card,lineout_throws_won
United Rugby Championship,2026-07-12,2025/26,Ulster,Harry Sheridan,5,1,,,,66,79,1,8,2,153,17,9,8,1,1,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Harry Thomas,,,,,,9,2,,,,26,3,1,1,,,28
United Rugby Championship,2026-07-12,2025/26,Connacht,Harry West,5,1,,,,63,289,4,10,2,45,8,8,4,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Harry Williams,,,,,,,,,,,2,,,,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Harvey Cuckson,,,,,,10,30,1,,,25,1,,6,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Hector Patterson,10,2,,,,11,117,,2,,11,5,5,2,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Heiko Pohlmann,,,,,,1,,,,,,,,2,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Henco van Wyk,40,8,,,,100,622,14,37,7,107,17,14,7,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Hencus van Wyk,,,,,,,,,,,1,,,,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Henry Thomas,,,,,,33,30,,1,2,84,14,2,18,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Hugh Cooney,5,1,,,,33,121,4,4,2,30,9,3,1,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Hugh Gavin,5,1,,,,53,143,2,4,3,39,8,4,2,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Hugo Keenan,15,3,,,,51,273,6,16,2,10,10,10,,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Hugo McLaughlin,,,,,,13,26,1,,1,,1,2,,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Huw Anderson,,,,,,38,144,5,4,2,21,10,6,,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Huw Jones,,,,,,22,132,2,11,2,14,5,3,2,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Huw Owen-Sutton,5,1,,,,39,91,2,2,2,114,5,3,3,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Iain Henderson,,,,,,50,56,,,2,87,6,4,11,,1,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Iestyn Hopkins,25,5,,,,77,426,9,17,3,35,12,15,,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Ignacio Mendy,20,4,,,,108,821,19,46,10,46,15,24,5,,,1
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Imad Khan,10,2,,,,22,141,3,9,2,32,13,9,4,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Ioan Emanuel,,,,,,,,,,,1,,,,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Ioan Jones,5,1,,,,25,168,1,5,1,12,2,2,,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Ioan Lloyd,36,1,8,5,,57,239,5,25,3,46,14,6,2,,,
