competition,date_scraped,season,team,player,points,try_scored,conversion,penalty_goal,drop_goal,carries,metres_made,clean_break,defender_beaten,offload,tackle,missed_tackle,turnovers_conceded,penalty_conceded,yellow_card,red_card,lineout_throws_won
United Rugby Championship,2026-07-13,2025/26,Connacht,Chay Mullins,5,1,,,,45,213,5,10,2,41,9,3,7,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Che Hope,20,4,,,,19,104,1,4,1,21,11,8,1,,,
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,Cheswill Jooste,25,5,,,,37,376,7,22,2,28,10,13,2,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Chris William Smith,154,1,49,17,,80,321,3,12,15,101,21,15,6,,,6
United Rugby Championship,2026-07-13,2025/26,Dragons,Christian Coleman,,,,,,38,34,,1,1,40,6,3,14,,,
United Rugby Championship,2026-07-13,2025/26,Sharks,Christie Grobbelaar,,,,,,11,111,2,3,1,8,8,4,,,,
United Rugby Championship,2026-07-13,2025/26,Connacht,Cian Prendergast,15,3,,,,116,277,3,14,6,168,14,17,11,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Ciaran Frawley,27,3,6,,,67,269,5,16,7,49,7,10,1,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Ciaran Mangan,,,,,,15,19,,2,3,9,,,,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Clinton Swart,,,,,,2,3,,,1,1,2,1,,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Cobus Reinach,5,1,,,,27,168,5,8,2,31,10,7,1,1,,
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,Cobus Wiese,5,1,,,,80,247,2,9,1,101,21,18,9,1,,
United Rugby Championship,2026-07-13,2025/26,Connacht,Colm Reilly,,,,,,7,9,,,1,13,8,1,,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Connor Boyle,5,1,,,,23,35,,2,,46,1,3,,,,1
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Connor Evans,,,,,,22,24,1,2,,58,3,5,3,,,
United Rugby Championship,2026-07-13,2025/26,Munster,Conor Bartley,,,,,,4,4,,,,21,2,,1,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Conor McAlpine,,,,,,4,6,,,,2,,,,,,
United Rugby Championship,2026-07-13,2025/26,Ulster,Conor McKee,5,1,,,,14,31,,2,4,36,10,3,3,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Conor O'Tighearnaigh,5,1,,,,12,26,,2,1,17,3,2,1,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Conrad van Vuuren,10,2,,,,15,19,,3,1,29,4,1,7,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Corey Domachowski,,,,,,20,11,,,,15,1,,2,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Cormac Foley,5,1,,,,4,6,,1,,2,1,,1,,,
United Rugby Championship,2026-07-13,2025/26,Ulster,Cormac Izuchukwu,10,2,,,,55,168,2,9,11,70,11,2,1,,,
United Rugby Championship,2026-07-13,2025/26,Sharks,Corne Rahl,,,,,,17,27,1,2,1,28,1,3,2,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Cornel Smit,,,,,,2,3,,,,1,,,,,,
United Rugby Championship,2026-07-13,2025/26,Munster,Craig Casey,15,3,,,,40,159,4,10,2,42,13,9,3,1,,
United Rugby Championship,2026-07-13,2025/26,Benetton,Cristiano Tizzano,5,1,,,,1,,,,,9,1,,,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,D'arcy Rae,5,1,,,,23,12,,2,,27,3,1,1,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Dafydd Hughes,15,3,,,,42,113,1,6,,82,7,2,2,1,,56
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Damian Willemse,17,3,1,,,120,503,2,26,6,88,23,28,9,,,
United Rugby Championship,2026-07-13,2025/26,Zebre,Damiano Mazza,,,,,,55,186,,5,4,82,3,9,4,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Dan Davis,5,1,,,,38,64,,3,1,80,3,6,4,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Dan Edwards,110,5,35,5,,68,321,5,15,1,67,21,13,,1,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Dan Gemine,,,,,,,,,,,3,,,1,,,
United Rugby Championship,2026-07-13,2025/26,Munster,Dan Kelly,15,3,,,,88,320,6,14,3,111,19,14,2,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,Dan Lancaster,35,2,11,1,,76,305,6,13,9,81,14,9,2,,,1
United Rugby Championship,2026-07-13,2025/26,Leinster,Dan Sheehan,15,3,,,,52,167,4,8,1,42,8,6,4,,,57
United Rugby Championship,2026-07-13,2025/26,Cardiff,Dan Thomas,10,2,,,,85,167,2,8,7,246,35,10,14,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Dan du Plessis,,,,,,40,155,2,6,2,59,3,2,3,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Dane Blacker,5,1,,,,16,84,,2,1,33,12,7,1,,,1
United Rugby Championship,2026-07-13,2025/26,Ospreys,Daniel Kasende,15,3,,,,67,355,7,23,7,83,23,22,6,,1,
United Rugby Championship,2026-07-13,2025/26,Connacht,Daniel Ryan,,,,,,5,18,1,,,3,5,2,1,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Danny Southworth,10,2,,,,80,90,,5,1,114,12,5,3,,,1
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Darcy Graham,25,5,,,,73,421,9,28,6,44,18,18,6,,,
United Rugby Championship,2026-07-13,2025/26,Connacht,Darragh Murray,,,,,,72,68,1,3,4,148,18,5,3,1,,
United Rugby Championship,2026-07-13,2025/26,Lions,Darrien-Lane Landsberg,,1,,,,,,,,,,,,6,,,
United Rugby Championship,2026-07-13,2025/26,Connacht,Dave Heffernan,5,1,,,,71,203,1,9,2,119,14,6,3,,,82
United Rugby Championship,2026-07-13,2025/26,Ulster,Dave Shanahan,,,,,,1,4,,1,,3,,1,1,,,
United Rugby Championship,2026-07-13,2025/26,Connacht,David Hawkshaw,,,,,,11,56,1,1,,10,4,,3,,,
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,David Kriel,25,3,5,,,69,473,2,16,12,71,21,5,5,,,
United Rugby Championship,2026-07-13,2025/26,Ulster,David McCann,10,2,,,,108,295,5,16,4,160,7,14,8,,,
United Rugby Championship,2026-07-13,2025/26,Connacht,David O'Connor,5,1,,,,51,59,1,8,,77,3,,4,,,
United Rugby Championship,2026-07-13,2025/26,Zebre,David Odiase,5,1,,,,80,199,2,14,2,122,7,3,5,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,David Richards,15,3,,,,44,284,4,17,,52,17,9,1,,,1
United Rugby Championship,2026-07-13,2025/26,Zebre,Davide Ruggeri,,,,,,44,98,1,5,2,54,9,5,5,,,
United Rugby Championship,2026-07-13,2025/26,Connacht,Denis Buckley,,,,,,25,15,,,1,56,2,,9,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Deon Fourie,5,1,,,,9,11,,2,1,18,2,1,2,1,,
United Rugby Championship,2026-07-13,2025/26,Sharks,Deon Slabbert,,,,,,9,9,,2,,21,3,,,,,
United Rugby Championship,2026-07-13,2025/26,Benetton,Destiny Aminu,,,,,,27,30,,1,,61,8,2,6,,,
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,Devon Williams,5,1,,,,22,106,2,1,,13,6,6,3,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Dewaldt Duvenage,,,,,,3,11,,1,1,10,3,3,,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Dewi Lake,5,1,,,,86,156,1,6,,106,8,7,6,,,73
United Rugby Championship,2026-07-13,2025/26,Sharks,Dian Bleuler,,,,,,6,4,,,,9,3,,1,,,
United Rugby Championship,2026-07-13,2025/26,Munster,Diarmuid Barron,5,1,,,,75,109,,4,1,118,15,6,7,,1,106
United Rugby Championship,2026-07-13,2025/26,Munster,Diarmuid Kilgallen,10,2,,,,31,97,4,5,3,14,3,5,1,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Diarmuid Mangan,,,,,,77,162,1,4,1,68,6,5,7,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Dillon Lewis,5,1,,,,24,18,,1,1,58,7,2,6,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Duhan van der Merwe,25,5,,,,50,324,8,43,8,24,6,11,1,,,1
United Rugby Championship,2026-07-13,2025/26,Glasgow,Duncan Munn,,,,,,3,8,,,,2,3,,1,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,Duncan Weir,13,1,4,,,4,6,,,,1,,1,,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,Dylan Cockburn,,,,,,2,1,,,,11,,2,1,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Dylan Kelleher-Griffiths,,,,,,6,1,,,,10,1,,3,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Dylan Maart,10,2,,,,12,105,2,4,1,11,7,1,2,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Dylan Richardson,15,3,,,,91,181,1,9,4,136,8,6,7,1,,16
United Rugby Championship,2026-07-13,2025/26,Lions,Dylan Sjoblom,,,,,,5,9,,1,,15,2,,,,,
United Rugby Championship,2026-07-13,2025/26,Connacht,Dylan Tierney-Martin,15,3,,,,54,117,1,4,2,86,9,2,8,,,78
United Rugby Championship,2026-07-13,2025/26,Sharks,Eben Etzebeth,,,,,,12,21,,1,,17,2,2,1,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Ed Byrne,,,,,,24,22,,,,9,2,1,1,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Eddie Davids,,,,,,6,4,,,1,37,5,1,4,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Eddie James,10,2,,,,58,178,2,15,5,72,10,5,3,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Eduan Keyter,15,3,,,,40,277,2,11,8,20,7,4,,,,1
United Rugby Championship,2026-07-13,2025/26,Sharks,Eduan Swart,,,,,,55,99,1,2,3,58,14,1,4,,,96
United Rugby Championship,2026-07-13,2025/26,Sharks,Edwill van der Merwe,35,7,,,,81,439,9,30,11,43,17,20,7,,,
United Rugby Championship,2026-07-13,2025/26,Munster,Edwin Edogbo,5,1,,,,29,40,,,1,48,3,3,4,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Efan Daniel,,,,,,11,20,,2,,21,,1,2,,,20
United Rugby Championship,2026-07-13,2025/26,Benetton,Eli Snyman,,,,,,35,50,,,,83,9,7,,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Elijah Evans,,,,,,2,7,,1,,4,,1,1,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Elliot Dee,,,,,,26,45,,1,,33,1,1,4,,,35
United Rugby Championship,2026-07-13,2025/26,Cardiff,Ellis Bevan,,,,,,7,51,1,2,,12,2,1,1,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Ellis Mee,20,4,,,,59,235,4,14,4,38,9,6,1,,,1
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,Elrigh Louw,5,1,,,,105,444,4,16,4,115,18,14,10,,,
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,Embrose Papier,60,12,,,,65,462,10,31,10,73,17,13,5,,,
United Rugby Championship,2026-07-13,2025/26,Sharks,Emile van Heerden,10,2,,,,57,86,1,3,1,81,8,9,7,,,
United Rugby Championship,2026-07-13,2025/26,Sharks,Emmanuel Tshituka,20,4,,,,100,230,1,10,2,66,6,6,6,,,
United Rugby Championship,2026-07-13,2025/26,Zebre,Enrico Lucchin,,,,,,13,45,,2,5,32,6,1,1,,,
United Rugby Championship,2026-07-13,2025/26,Zebre,Enrique Pieretto,,,,,,12,11,,,1,31,9,2,6,,,
United Rugby Championship,2026-07-13,2025/26,Benetton,Enzo Avaca,,,,,,,,,,,,1,,,,,
United Rugby Championship,2026-07-13,2025/26,Connacht,Eoin de Buitlear,5,1,,,,30,41,1,2,3,66,1,,2,,,20
United Rugby Championship,2026-07-13,2025/26,Ulster,Eric O'Sullivan,5,1,,,,22,19,,1,3,33,6,,7,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Erich Cronje,20,4,,,,54,301,7,15,9,80,11,18,6,,,2
United Rugby Championship,2026-07-13,2025/26,Sharks,Ethan Bester,,,,,,1,,,,,,1,,,,,
United Rugby Championship,2026-07-13,2025/26,Munster,Ethan Coughlan,10,2,,,,10,145,2,2,,27,13,3,1,,,
United Rugby Championship,2026-07-13,2025/26,Sharks,Ethan Hooker,15,3,,,,46,334,7,21,,34,9,12,2,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Ethan Lewis,,,,,,3,,,2,1,16,,,,,,5
United Rugby Championship,2026-07-13,2025/26,Ulster,Ethan Mcilroy,5,1,,,,45,140,3,11,5,26,7,3,1,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Etienne Oosthuizen,10,2,,,,57,113,,10,12,81,13,8,6,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,Euan Ferrie,5,1,,,,78,107,3,2,1,134,15,10,9,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Euan McVie,,,,,,3,7,,1,,1,,,,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Evan Lloyd,10,2,,,,41,132,3,9,2,55,7,2,3,,,38
United Rugby Championship,2026-07-13,2025/26,Dragons,Evan Minto,,,,,,12,43,,2,,11,2,3,1,,,
United Rugby Championship,2026-07-13,2025/26,Munster,Evan O'Connell,5,1,,,,33,34,,2,1,35,4,1,2,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Evan Roos,60,12,,,,185,622,6,40,10,173,27,23,21,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Evardi Boshoff,5,1,,,,33,136,3,10,7,48,12,2,3,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Ewan Ashman,40,8,,,,100,334,4,11,6,124,10,8,6,,,118
United Rugby Championship,2026-07-13,2025/26,Dragons,Ewan Rosser,,,,,,2,11,,,,5,2,,,,,
United Rugby Championship,2026-07-13,2025/26,Benetton,Federico Ruzza,5,1,,,,40,39,2,2,7,49,1,4,3,,,
United Rugby Championship,2026-07-13,2025/26,Benetton,Federico Zanandrea,,,,,,6,37,,2,,7,3,1,,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,Fergus Watson,5,1,,,,14,88,2,9,,8,4,2,1,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Fetuli Paea,,,,,,38,115,1,10,1,36,7,5,1,,,
United Rugby Championship,2026-07-13,2025/26,Sharks,Fez Mbatha,10,2,,,,56,57,,2,2,67,7,7,6,,,94
United Rugby Championship,2026-07-13,2025/26,Connacht,Fiachna Barrett,5,1,,,,20,67,1,1,,31,1,2,1,,,
United Rugby Championship,2026-07-13,2025/26,Benetton,Filippo Drago,,,,,,34,55,,3,2,42,8,2,,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,Fin Richardson,,,,,,25,14,,2,1,37,4,1,,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Findlay Thomson,,,,,,42,119,,1,,56,7,1,3,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Fine Inisi,10,2,,,,65,282,9,22,11,85,5,9,4,,,
United Rugby Championship,2026-07-13,2025/26,Munster,Fineen Wycherley,5,1,,,,75,90,,,,181,13,11,7,,,
United Rugby Championship,2026-07-13,2025/26,Connacht,Finlay Bealham,15,3,,,,45,36,,1,2,61,5,2,9,1,,
United Rugby Championship,2026-07-13,2025/26,Connacht,Finn Treacy,15,3,,,,40,241,4,17,1,34,12,10,,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Fintan Gunne,5,1,,,,34,178,2,8,5,32,5,8,1,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Fletcher Anderson,5,1,,,,190,542,2,46,9,185,18,10,6,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Francke Horn,25,5,,,,90,475,11,30,17,120,8,6,3,1,,
United Rugby Championship,2026-07-13,2025/26,Zebre,Franco Carrera,5,1,,,,35,110,2,6,2,66,1,3,7,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Franco Marais,5,1,,,,51,72,,1,1,80,8,2,9,,,75
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,Francois Klopper,5,1,,,,30,45,,1,,67,8,4,5,1,,
United Rugby Championship,2026-07-13,2025/26,Sharks,Francois Venter,,,,,,20,44,,3,2,29,4,4,,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Freddy Douglas,5,1,,,,59,103,2,6,2,106,9,4,8,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Gabe Hawley,,,,,,3,,,,,5,,,1,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Gabe McDonald,,,,,,2,6,,,,3,,1,,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Gareth Davies,15,3,,,,21,130,3,7,1,42,13,6,6,1,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Gareth Thomas,,,,,,25,26,,1,,59,11,,7,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Garry Ringrose,10,2,,,,29,68,2,5,2,25,9,1,,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Garyn Phillips,5,1,,,,28,45,,3,,47,4,3,6,,,1
United Rugby Championship,2026-07-13,2025/26,Munster,Gavin Coombes,20,4,,,,139,250,1,15,19,169,10,7,6,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,George Horne,76,6,23,,,56,373,5,18,5,66,18,8,4,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,George Nott,,,,,,66,60,,1,6,128,10,6,6,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,George Roberts,5,1,,,,15,41,,5,1,37,1,,1,,,24
United Rugby Championship,2026-07-13,2025/26,Sharks,George Whitehead,4,,2,,,5,18,,,,8,4,1,,,,
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,Gerhard Steenekamp,,,,,,51,89,1,3,1,94,9,6,7,,,1
United Rugby Championship,2026-07-13,2025/26,Zebre,Giacomo Ferrari,5,1,,,,63,147,1,6,,81,8,6,4,,,
United Rugby Championship,2026-07-13,2025/26,Zebre,Giacomo Milano,,,,,,,,,,,5,1,,,,,
United Rugby Championship,2026-07-13,2025/26,Zebre,Giacomo da Re,49,,14,7,,56,210,,10,5,63,14,20,1,,,1
United Rugby Championship,2026-07-13,2025/26,Zebre,Giampietro Ribaldi,5,1,,,,30,28,,1,,52,3,2,2,,,46
United Rugby Championship,2026-07-13,2025/26,Lions,Gianni Lombard,6,,,2,,7,5,,,3,2,2,2,,,,
United Rugby Championship,2026-07-13,2025/26,Benetton,Giosue Zilocchi,,,,,,32,19,,2,2,56,3,1,7,,,
United Rugby Championship,2026-07-13,2025/26,Zebre,Giovanni Licata,5,1,,,,83,180,3,10,16,55,8,6,6,,,1
United Rugby Championship,2026-07-13,2025/26,Zebre,Giovanni Montemauri,21,,6,3,,60,354,3,19,8,42,8,8,,,,
United Rugby Championship,2026-07-13,2025/26,Zebre,Giovanni Quattrini,15,3,,,,19,47,1,1,,46,5,,4,,,41
United Rugby Championship,2026-07-13,2025/26,Zebre,Giulio Bertaccini,10,2,,,,64,301,4,17,7,99,11,5,6,,,
United Rugby Championship,2026-07-13,2025/26,Benetton,Giulio Marini,,,,,,40,43,1,3,,107,11,2,5,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Glen Young,5,1,,,,89,133,2,9,8,162,16,10,11,,,
United Rugby Championship,2026-07-13,2025/26,Zebre,Gonzalo Garcia,5,1,,,,19,54,1,1,1,29,5,8,3,,,
United Rugby Championship,2026-07-13,2025/26,Munster,Gordon Wood,,,,,,1,5,,,,3,,,,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Grant Gilchrist,5,1,,,,49,51,1,2,1,126,4,8,10,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,Grant Stewart,,,,,,,,,,,,,1,,,,2
United Rugby Championship,2026-07-13,2025/26,Sharks,Grant Williams,5,1,,,,28,152,5,11,6,38,2,3,3,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,Gregor Brown,5,1,,,,60,253,1,10,5,74,2,3,7,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,Gregor Hiddleston,35,7,,,,72,94,1,1,4,122,7,5,10,,,109
United Rugby Championship,2026-07-13,2025/26,Zebre,Guido Volpi,,,,,,26,28,,,2,35,6,4,,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Gus McCarthy,10,2,,,,73,169,1,4,1,84,6,4,,,,69
United Rugby Championship,2026-07-13,2025/26,Ospreys,Gwilym Evans,,,,,,10,14,,2,,37,1,,,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Haashim Pead,10,2,,,,13,53,1,5,,9,3,1,,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Hacjivah Dayimani,5,1,,,,12,16,,3,,15,1,,2,,,
United Rugby Championship,2026-07-13,2025/26,Sharks,Hakeem Kunene,5,1,,,,9,109,1,1,,6,2,3,1,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Hamish Watson,,,,,,6,2,,,1,2,,,,,,
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,Handre Pollard,129,3,39,12,,69,205,3,12,8,85,26,18,3,1,,
United Rugby Championship,2026-07-13,2025/26,Sharks,Hanro Jacobs,5,1,,,,31,60,1,3,,53,9,,12,,,
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,Harold Vorster,25,5,,,,108,501,14,16,14,110,21,12,3,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Harri Ackerman,,,,,,21,33,,2,,21,2,1,1,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Harri Deaves,5,1,,,,85,284,4,24,4,150,8,7,10,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Harri Houston,,,,,,9,56,,2,1,5,,1,,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Harri Millard,5,1,,,,64,346,7,17,2,67,13,15,1,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Harri Morris,5,1,,,,39,65,,2,,95,10,1,5,,1,70
United Rugby Championship,2026-07-13,2025/26,Scarlets,Harri O'Connor,,,,,,18,16,,1,1,24,2,,4,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Harri Wilde,2,,1,,,,,,,,,,,,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Harrison Keddie,5,1,,,,73,181,1,17,2,143,9,7,6,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Harry Beddall,,,,,,37,45,,5,,146,3,4,6,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Harry Byrne,76,2,27,4,,48,119,2,11,,51,18,7,4,,,1
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Harry Paterson,15,3,,,,83,437,6,17,8,29,19,14,5,,,
United Rugby Championship,2026-07-13,2025/26,Ulster,Harry Sheridan,5,1,,,,66,79,1,8,2,153,17,9,8,1,1,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Harry Thomas,,,,,,9,2,,,,26,3,1,1,,,28
United Rugby Championship,2026-07-13,2025/26,Connacht,Harry West,5,1,,,,63,289,4,10,2,45,8,8,4,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Harry Williams,,,,,,,,,,,2,,,,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Harvey Cuckson,,,,,,10,30,1,,,25,1,,6,,,
United Rugby Championship,2026-07-13,2025/26,Edinburgh,Hector Patterson,10,2,,,,11,117,,2,,11,5,5,2,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Heiko Pohlmann,,,,,,1,,,,,,,,2,,,
United Rugby Championship,2026-07-13,2025/26,Lions,Henco van Wyk,40,8,,,,100,622,14,37,7,107,17,14,7,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Hencus van Wyk,,,,,,,,,,,1,,,,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Henry Thomas,,,,,,33,30,,1,2,84,14,2,18,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Hugh Cooney,5,1,,,,33,121,4,4,2,30,9,3,1,,,
United Rugby Championship,2026-07-13,2025/26,Connacht,Hugh Gavin,5,1,,,,53,143,2,4,3,39,8,4,2,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Hugo Keenan,15,3,,,,51,273,6,16,2,10,10,10,,,,
United Rugby Championship,2026-07-13,2025/26,Leinster,Hugo McLaughlin,,,,,,13,26,1,,1,,1,2,,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Huw Anderson,,,,,,38,144,5,4,2,21,10,6,,,,
United Rugby Championship,2026-07-13,2025/26,Glasgow,Huw Jones,,,,,,22,132,2,11,2,14,5,3,2,,,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Huw Owen-Sutton,5,1,,,,39,91,2,2,2,114,5,3,3,,,
United Rugby Championship,2026-07-13,2025/26,Ulster,Iain Henderson,,,,,,50,56,,,2,87,6,4,11,,1,
United Rugby Championship,2026-07-13,2025/26,Ospreys,Iestyn Hopkins,25,5,,,,77,426,9,17,3,35,12,15,,,,
United Rugby Championship,2026-07-13,2025/26,Benetton,Ignacio Mendy,20,4,,,,108,821,19,46,10,46,15,24,5,,,1
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,Imad Khan,10,2,,,,22,141,3,9,2,32,13,9,4,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Ioan Emanuel,,,,,,,,,,,1,,,,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Ioan Jones,5,1,,,,25,168,1,5,1,12,2,2,,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Ioan Lloyd,36,1,8,5,,57,239,5,25,3,46,14,6,2,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Ioan Nicholas,,,,,,18,92,,3,,4,6,3,,,,
United Rugby Championship,2026-07-13,2025/26,Zebre,Ion Neculai,,,,,,17,29,,,1,28,3,3,5,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Iori Badham,,,,,,3,8,,,,9,1,1,,,,
United Rugby Championship,2026-07-13,2025/26,Benetton,Ivan Nemer,,,,,,7,10,,,,18,1,,1,,,
United Rugby Championship,2026-07-13,2025/26,Cardiff,Iwan Stephens,,,,,,5,36,,1,,5,5,3,,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,JC Mars,,,,,,3,7,,1,,,,2,,,,
United Rugby Championship,2026-07-13,2025/26,Lions,JC Pretorius,,,,,,16,147,3,14,1,31,2,4,1,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,JD Schickerling,5,1,,,,53,84,1,6,3,93,6,5,5,,,
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,JF van Heerden,,,,,,38,77,,,,35,7,1,6,,,1
United Rugby Championship,2026-07-13,2025/26,Munster,JJ Hanrahan,40,,14,4,,44,137,1,7,4,83,23,5,3,,,
United Rugby Championship,2026-07-13,2025/26,DHL Stormers,JJ Kotze,5,1,,,,31,107,2,7,1,69,7,6,3,,,108
United Rugby Championship,2026-07-13,2025/26,Vodacom Bulls,JJ Theron,,,,,,26,94,,3,2,52,6,3,1,,,
United Rugby Championship,2026-07-13,2025/26,Scarlets,Jac Davies,,,,,,27,121,1,6,,10,5,2,4,,,
United Rugby Championship,2026-07-13,2025/26,Dragons,Jac Lloyd,,,,,,8,,,,,5,5,2,1,,,
