Player,Rank,Team,carries,clean-break,conversion,defender-beaten,drop-goal,lineout-steals,lineout-throws-won,lineouts-lost,metres-made,missed-tackle,offload,penalty-conceded,penalty-goal,points,red-card,scrums-lost,scrums-won,tackle,try-scored,turnover-won,turnovers-conceded,yellow-card
Ignacio Mendy,113,Benetton,108,19,,46,,,1,,821,15,10,5,,20,,,,46,4,,24,
Rio Dyer,114,Dragons,90,12,,45,,,,,647,6,8,1,,20,,,,53,4,,11,1
Brodie Coghlan,115,Dragons,81,2,,3,,,114,,115,6,,11,,20,,,,115,4,,6,
Che Hope,116,Dragons,19,1,,4,,,,,104,11,1,1,,20,,,,21,4,,8,
Morne van den Berg,117,Lions,61,3,,12,,,1,,221,17,6,3,,20,,,,86,4,,14,
Morne Brandon,118,Lions,35,1,,3,,,40,,132,4,,3,,20,,,,32,4,,2,
Quan Horn,119,Lions,119,6,,39,,,,,712,14,17,5,,20,,,,51,4,,12,1
Nico Steyn,120,Lions,46,4,,12,,,,,174,9,6,7,,20,,,,54,4,,6,
Erich Cronje,121,Lions,54,7,,15,,,2,,301,11,9,6,,20,,,,80,4,,18,
Josh Ioane,122,Connacht,121,8,2,41,,,,,569,28,11,1,,19,,,,94,3,,13,
Carwyn Jones,123,Scarlets,29,2,8,5,,,1,,94,13,2,2,1,19,,,,50,,,12,1
Damian Willemse,124,DHL Stormers,120,2,1,26,,,,,503,23,6,9,,17,,,,88,3,,28,
Ethan Hooker,125,Sharks,46,7,,21,,,,,334,9,,2,,15,,,,34,3,,12,
Dan Kelly,126,Munster,88,6,,14,,,,,320,19,3,2,,15,,,,111,3,,14,
Jack O'Donoghue,127,Munster,72,3,,6,,,,,148,13,3,6,,15,,,,123,3,,9,
Craig Casey,128,Munster,40,4,,10,,,,,159,13,2,3,,15,,,,42,3,,9,1
Magnus Bradbury,129,Edinburgh,167,3,,22,,,,,477,19,2,11,,15,,,,176,3,,14,
Harry Paterson,130,Edinburgh,83,6,,17,,,,,437,19,8,5,,15,,,,29,3,,14,
Dylan Richardson,131,Edinburgh,91,1,,9,,,16,,181,8,4,7,,15,,,,136,3,,6,1
Stafford McDowall,132,Glasgow,169,7,,41,,,,,543,19,13,6,,15,,,,96,3,,16,
Seb Stephen,133,Glasgow,43,1,,14,,,59,,161,5,3,2,,15,,,,38,3,,5,
Olujare Oguntibeju,134,Glasgow,64,2,,5,,,,,60,7,3,5,,15,,,,71,3,,3,
Josh McKay,135,Glasgow,163,8,,47,,,,,873,9,19,6,,15,,,,29,3,,16,1
Sebastian de Klerk,136,Vodacom Bulls,84,13,,38,,,,,569,11,13,3,,15,,,,55,3,,12,
Stravino Jacobs,137,Vodacom Bulls,57,11,,23,,,,,473,10,4,4,,15,,,,28,3,,15,
Paul de Wet,138,Vodacom Bulls,26,3,,11,,,,,193,1,5,2,,15,,,,18,3,,6,
Mpilo Gumede,139,Vodacom Bulls,28,1,,4,,,,,71,5,4,2,,15,,,,29,3,,6,
Kurt-Lee Arendse,140,Vodacom Bulls,90,9,,29,,,1,,573,7,8,7,,15,,,,40,3,,17,
Marco van Staden,141,Vodacom Bulls,55,1,,6,,,26,,177,9,3,5,,15,,,,63,3,,7,1
Ruhan Nel,142,DHL Stormers,66,8,,22,,,,,360,18,10,5,,15,,,,75,3,,8,
Wandisile Simelane,143,DHL Stormers,77,6,,28,,,,,357,23,15,4,,15,,,,37,3,,14,
Daniel Kasende,144,Ospreys,67,7,,23,,,,,355,23,7,6,,15,1,,,83,3,,22,
Morgan Morse,145,Ospreys,84,4,,11,,,,,300,11,4,6,,15,,,,85,3,,9,
James Ratti,146,Ospreys,136,1,,13,,,,,318,14,7,3,,15,,,,122,3,,9,
RG Snyman,147,Leinster,68,2,,7,,,,,178,5,20,1,,15,,,,39,3,,6,
Dan Sheehan,148,Leinster,52,4,,8,,,57,,167,8,1,4,,15,,,,42,3,,6,
Joe McCarthy,149,Leinster,67,1,,15,,,,,136,3,6,6,,15,,,,86,3,,4,
Hugo Keenan,150,Leinster,51,6,,16,,,,,273,10,2,,,15,,,,10,3,,10,
Alex Soroka,151,Leinster,55,2,,3,,,,,89,4,,4,,15,,,,77,3,,4,
Bryn Ward,152,Ulster,92,6,,20,,,,,372,10,3,1,,15,,,,106,3,,13,
Scott Wilson,153,Ulster,75,,,14,,,,,74,13,1,12,,15,,,,98,3,,5,1
Finn Treacy,154,Connacht,40,4,,17,,,,,241,12,1,,,15,,,,34,3,,10,
Cian Prendergast,155,Connacht,116,3,,14,,,,,277,14,6,11,,15,,,,168,3,,17,
Dylan Tierney-Martin,156,Connacht,54,1,,4,,,78,,117,9,2,8,,15,,,,86,3,,2,
Finlay Bealham,157,Connacht,45,,,1,,,,,36,5,2,9,,15,,,,61,3,,2,1
Josh Macleod,158,Scarlets,64,1,,4,,,,,102,12,4,10,,15,,,,112,3,,7,
Gareth Davies,159,Scarlets,21,3,,7,,,,,130,13,1,6,,15,,,,42,3,,6,1
Jacopo Trulla,160,Zebre,5,1,,2,,,,,67,2,,,,15,,,,9,3,,2,
Giovanni Quattrini,161,Zebre,19,1,,1,,,41,,47,5,,4,,15,,,,46,3,,,
Mason Grady,162,Cardiff,59,8,,23,,,,,451,17,4,2,,15,,,,26,3,,16,
Alex Mann,163,Cardiff,57,1,,3,,,,,66,10,5,11,,15,,,,84,3,,10,
Cameron Winnett,164,Cardiff,120,9,,22,,,,,565,14,8,2,,15,,,,29,3,,12,
Dafydd Hughes,165,Cardiff,42,1,,6,,,56,,113,7,,2,,15,,,,82,3,,2,1
Jacob Beetham,166,Cardiff,95,9,,12,,,,,383,17,2,6,,15,,,,63,3,,21,
Paolo Odogwu,167,Benetton,88,5,,32,,,,,375,17,9,7,,15,,,,74,3,,11,1
Nicholas Gasperini,168,Benetton,46,,,2,,,60,,85,11,3,2,,15,,,,53,3,,6,
Ollie Burrows,169,Dragons,34,,,1,,,47,,56,5,,,,15,,,,65,3,,1,
Aaron Wainwright,170,Dragons,144,5,,36,,,,,463,15,,5,,15,,,,130,3,,7,
David Richards,171,Dragons,44,4,,17,,,1,,284,17,,1,,15,,,,52,3,,9,
Jared Rosser,172,Dragons,22,7,,11,,,,,196,8,1,2,,15,,,,16,3,,6,
Kelly Mpeku,173,Lions,39,5,,10,,,1,,268,5,5,1,,15,,,,40,3,,7,
Angelo Davids,174,Lions,63,12,,21,,,,,448,38,10,5,,15,,,,56,3,,19,
Eduan Keyter,175,Lions,40,2,,11,,,1,,277,7,8,,,15,,,,20,3,,4,
SJ Kotze,176,Lions,74,7,,13,,,,,216,9,5,20,,15,,,,117,3,,6,1
Duncan Weir,177,Glasgow,4,,4,,,,,,6,,,,,13,,,,1,1,,1,
Ben Healy,178,Edinburgh,6,,6,3,,,,,20,2,,1,,12,,,,17,,,5,
Ben Thomas,179,Cardiff,100,6,1,25,,,,,386,27,9,11,,12,,,,110,2,,9,
Lubabalo Dobela,180,Lions,6,,3,1,,,,,,1,1,,2,12,,,,10,,,3,
Emile van Heerden,181,Sharks,57,1,,3,,,,,86,8,1,7,,10,,,,81,2,,9,
Jason Jenkins,182,Sharks,60,1,,1,,,,,129,13,3,5,,10,,,,75,2,,8,
Fez Mbatha,183,Sharks,56,,,2,,,94,,57,7,2,6,,10,,,,67,2,,7,
Le Roux Malan,184,Sharks,18,1,,1,,,,,88,2,3,,,10,,,,17,2,,1,
Michael Milne,185,Munster,51,,,4,,,,,45,7,2,10,,10,,,,81,2,,2,
Lee Barron,186,Munster,45,2,,1,,,68,,126,4,2,6,,10,,,,94,2,,2,
Shane Daly,187,Munster,116,10,,15,,,,,581,18,10,5,,10,,,,57,2,,21,
Mike Haley,188,Munster,108,6,,24,,,,,582,13,7,5,,10,,,,32,2,,15,
Diarmuid Kilgallen,189,Munster,31,4,,5,,,,,97,3,3,1,,10,,,,14,2,,5,
Tadhg Beirne,190,Munster,23,1,,2,,,,,42,4,1,4,,10,,,,43,2,,5,
Ethan Coughlan,191,Munster,10,2,,2,,,,,145,13,,1,,10,,,,27,2,,3,
Tom Farrell,192,Munster,93,7,,16,,,,,349,10,18,6,,10,,,,69,2,,4,
Charlie Shiel,193,Edinburgh,28,1,,8,,,1,,167,5,3,2,,10,,,,26,2,,5,
Boan Venter,194,Edinburgh,67,2,,8,,,,,118,5,2,7,,10,,,,80,2,,5,1
Hector Patterson,195,Edinburgh,11,,,2,,,,,117,5,,2,,10,,,,11,2,,5,
Tom Currie,196,Edinburgh,33,1,,11,,,,,101,,,2,,10,,,,39,2,,2,
Patrick Schickerling,197,Glasgow,74,1,,9,,,,,110,4,1,11,,10,,,,85,2,,3,
Macenzzie Duncan,198,Glasgow,55,1,,6,,,,,157,12,2,5,,10,,,,79,2,,1,
Nathan McBeth,199,Glasgow,35,,,,,,,,27,2,,9,,10,,,,27,2,,,1
Matt Fagerson,200,Glasgow,100,1,,6,,,,,242,6,4,9,,10,,,,126,2,,6,
Rory Darge,201,Glasgow,56,1,,8,,,,,84,4,4,5,,10,,,,95,2,,2,
Ruan Vermaak,202,Vodacom Bulls,51,3,,4,,,,,131,13,5,4,,10,,,,76,2,,2,
Cameron Hanekom,203,Vodacom Bulls,66,1,,24,,,,,326,8,21,3,,10,,,,82,2,,3,
Leolin Zas,204,DHL Stormers,82,15,,35,,,1,,560,35,11,7,,10,,,,58,2,,20,1
Dylan Maart,205,DHL Stormers,12,2,,4,,,,,105,7,1,2,,10,,,,11,2,,1,
Imad Khan,206,DHL Stormers,22,3,,9,,,,,141,13,2,4,,10,,,,32,2,,9,
Jac Morgan,207,Ospreys,47,2,,10,,,,,144,7,,5,,10,,,,72,2,,5,1
Phil Cokanasiga,208,Ospreys,44,3,,14,,,,,142,8,4,1,,10,,,,39,2,,6,
Luke Morgan,209,Ospreys,23,3,,7,,,,,106,3,1,2,,10,,,,30,2,,8,
Luke Davies,210,Ospreys,7,1,,,,,,,38,8,1,,,10,,,,18,2,,2,
Reuben Morgan-Williams,211,Ospreys,49,5,,18,,,,,175,15,12,3,,10,,,,47,2,,7,
Tom Clarkson,212,Leinster,71,1,,5,,,,,114,5,,13,,10,,,,66,2,,2,1
Jamison Gibson-Park,213,Leinster,32,3,,10,,,1,,193,8,4,2,,10,,,,33,2,,12,
Jamie Osborne,214,Leinster,71,2,,8,,,,,299,9,6,3,,10,,,,45,2,,2,
Garry Ringrose,215,Leinster,29,2,,5,,,,,68,9,2,,,10,,,,25,2,,1,
Gus McCarthy,216,Leinster,73,1,,4,,,69,,169,6,1,,,10,,,,84,2,,4,
Jordan Larmour,217,Leinster,31,5,,13,,,,,206,5,1,5,,10,,,,13,2,,4,
Juarno Augustus,218,Ulster,112,1,,26,,,,,343,7,4,2,,10,,,,122,2,,7,
James Hume,219,Ulster,100,4,,17,,,,,330,22,10,7,,10,,,,77,2,,6,
Cormac Izuchukwu,220,Ulster,55,2,,9,,,,,168,11,11,1,,10,,,,70,2,,2,
Charlie Irvine,221,Ulster,38,,,2,,,,,68,10,,8,,10,,,,132,2,,4,
